user_id,item_id,recommend,coincide
76561197970982479,1250,True,False
76561197970982479,22200,True,False
76561197970982479,43110,True,False
js41637,251610,True,False
js41637,227300,True,False
js41637,239030,True,False
evcentric,248820,True,False
evcentric,370360,True,False
evcentric,237930,True,False
evcentric,263360,True,False
doctr,250320,True,False
doctr,20920,True,False
doctr,204100,True,False
doctr,224600,True,False
doctr,207610,True,False
doctr,108710,True,False
maplemage,211420,True,False
maplemage,211820,True,False
maplemage,730,True,False
maplemage,204300,True,False
Wackky,249130,True,False
Wackky,207610,True,False
Wackky,550,True,False
Wackky,65800,True,False
Wackky,220,True,False
76561198079601835,730,True,False
MeaTCompany,730,True,False
76561198089393905,72850,True,False
76561198089393905,440,True,False
76561198156664158,252950,True,False
76561198077246154,440,True,False
76561198077246154,304930,True,False
WeiEDKrSat,4000,True,False
thequeenpanda,42910,True,False
death-hunter,232090,True,False
death-hunter,1250,True,False
death-hunter,4000,True,False
DJKamBer,304930,True,False
DJKamBer,570,True,False
DJKamBer,218620,True,False
DJKamBer,224260,True,False
DJKamBer,1250,True,False
DJKamBer,440,True,False
Rainbow-Dashie,730,True,False
Rainbow-Dashie,440,True,False
Rainbow-Dashie,49520,True,False
76561198043472122,33440,False,False
MarbleShrine,220200,True,False
PPanther,211820,True,False
devvonst,440,True,False
devvonst,218740,True,False
devvonst,550,True,False
Fr0stedLine,220,True,False
starkillershadow553,238090,True,False
starkillershadow553,242130,True,False
starkillershadow553,277430,True,False
76561198058373434,8870,True,False
76561198048353577,368230,True,False
76561198048353577,4000,True,False
76561198048353577,33930,True,False
76561198066046412,359320,False,False
76561198066046412,219640,True,False
tru_mu_,287980,True,False
76561198070565427,218620,True,False
76561198070565427,208090,True,False
76561198070565427,242700,True,False
76561198070565427,570,False,False
76561198070565427,224260,True,False
SavageEeEe,221100,True,False
76561198076909484,570,True,False
KanadeTheNeko,331470,True,False
KanadeTheNeko,4000,True,False
Leaf_Light_Moscow,323370,True,False
GoAwayZach,304930,True,False
76561198054540475,12210,True,False
76561198054540475,265210,True,False
76561198054540475,48700,True,False
76561198085547365,238460,True,False
76561198061252210,730,True,False
OfficialShroomsy,113200,True,False
boydeer,440,True,False
boydeer,383080,False,False
VVillis,213670,True,False
76561198083226897,105600,True,False
76561198075277292,730,True,False
76561198075277292,570,True,False
76561198028895010,231180,True,False
76561198028895010,620,True,False
76561198170198366,271290,True,False
diego9031,4000,True,False
diego9031,317360,True,False
diego9031,223710,True,False
diego9031,299360,True,False
diego9031,322330,True,False
diego9031,1250,True,False
